,Year,Title,YoutubeId,ViewCount,LikeCount,DislikeCount,CommentCount,FavoriteCount
0,1958,Nel Blu Dipinto Di Blu,t4IjJav7xbg,11455105,68569,2799,2716,0
1,1959,Smoke Gets In Your Eyes,57tK6aQS_H0,10830141,37074,564,3636,0
2,1960,Why,0S13mP_pfEc,14681979,71445,1575,4102,0
3,1961,Wonderland By Night,NnU_nMYb0C4,1955195,6324,295,858,0
4,1962,The Twist,im9XuJJXylw,21911548,71060,2094,3828,0
5,1963,Go Away Little Girl,mLUuWl8oMFE,1016950,5770,239,339,0
6,1964,Louie Louie,wx-8_GI4d2c,4875919,13622,594,2050,0
7,1965,Come See About Me,PycKSdKG_74,4967659,20110,494,1747,0
8,1966,We Can Work It Out,Qyclqo_AV2M,63622690,217984,6976,10216,0
9,1967,Snoopy Vs. The Red Baron,Oxzg_iM-T4E,4175420,14778,423,1826,0
10,1968,Daydream Believer,xvqeSJlgaNk,9516726,58791,2300,3595,0
11,1969,For Once In My Life,a_Pg9iTFKQk,8269570,23351,889,1040,0
12,1970,Leaving On A Jet Plane,SneCkM0bJq0,13800784,48406,2363,1789,0
13,1971,One Less Bell To Answer,9ZcA3kiaQb0,5335351,30387,1112,3703,0
14,1972,American Pie (Parts I & II),uAsV5-Hv-7U,85474487,328028,17426,35149,0
15,1973,Clair,sU9fClvdo5s,10298756,38541,1791,4179,0
16,1974,The Joker,YZo88P1Ie94,4758923,29947,1393,785,0
17,1978,Baby Come Back,Hn-enjcgV1o,66236658,319775,11197,21729,0
18,1979,Le Freak,h1qQ1SKNlgY,16191397,98695,2276,3669,0
19,1980,Escape (The Pina Colada Song),TazHNpt6OTo,26314474,143236,3964,3907,0
20,1981,More Than I Can Say,dGKnSdikqjw,25006017,90215,3356,4481,0
21,1982,Waiting For A Girl Like You,dUNJc22MAb8,3239607,27825,776,1101,0
22,1983,Mickey,NW7VnHnX3LQ,8463976,36762,2090,3011,0
23,1984,Say It Isn't So,tU2HybDGJHQ,18775718,45244,2315,2226,0
24,1985,The Wild Boys,M43wsiNBwmo,13382258,52587,1719,2744,0
25,1986,Party All The Time,iWa-6g-TbgI,19568400,151871,6056,12931,0
26,1987,Everybody Have Fun Tonight,BoXu6QmxpJE,9375243,45201,1844,5604,0
27,1988,So Emotional,0YjSHbA6HQQ,13562080,46886,1482,3994,0
28,1989,My Prerogative,5cDLZqe735k,23605899,149617,5576,8047,0
29,1990,Rhythm Nation,OAwaNWGLM0c,16474343,96397,2813,9975,0
30,1991,Because I Love You (The Postman Song),Xc1uQI2XmZs,10735243,79204,2641,3228,0
31,1992,It's So Hard To Say Goodbye To Yesterday,VastXQ_hPb0,12156009,83950,1838,6347,0
32,1993,Rump Shaker,iKKONgfNONU,10430138,42567,1094,3668,0
33,1994,Again,jdQWia3fwMU,4366471,76906,969,4074,0
34,1995,Creep,vtmtELlo6pk,4018051,24676,1031,1173,0
35,1996,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",wrTuV4Szxzo,19420512,72017,2397,3551,0
36,1997,"I Believe I Can Fly (From ""Space Jam"")",LbUpPVOEkdA,36896715,190201,9627,12404,0
37,1998,Been Around The World,JVuuatjHGnY,21896940,146849,4724,6804,0
38,1999,Nobody's Supposed To Be Here,H947PtHmh0Y,30998705,218561,9137,5539,0
39,2000,Back At One,5r1pg28XZfE,30190042,119600,3452,3544,0
40,2001,He Loves U Not,IDjI3SD4Cr4,2109745,17971,745,1705,0
41,2002,U Got It Bad,o3IWTfcks4k,179472390,660496,35244,20767,0
42,2003,Work It,cjIvu7e6Wq8,49248797,339415,13090,9300,0
43,2004,The Way You Move,xI5NQ-0Ubfs,31265264,160737,7046,4040,0
44,2005,Drop It Like It's Hot,RaCodgL9cvk,79242961,405188,16273,20963,0
45,2006,Run It!,w6QGe-pXgdI,103268908,365639,12759,16180,0
46,2007,I Wanna Love You,GJzF7H2e3Tw,168311534,790024,22824,26719,0
47,2008,No One,rywUS-ohqeE,385040721,1347810,44662,48455,0
48,2009,Live Your Life,koVHN6eO4Xg,138770623,653771,24151,31690,0
49,2010,Empire State Of Mind,yQ3fX1tEgVk,10532240,56367,1841,2551,0
50,2011,Grenade,SR6iYWJxHqs,830240847,3029347,98106,272028,0
51,2012,We Found Love,tg00YEETFzg,821809600,2613189,150847,201713,0
52,2013,Diamonds,lWA2pjMjpBs,1255407926,5013356,264115,308761,0
53,2014,Timber,hHUbLv4ThOo,1066785632,3301830,207196,136241,0
54,2015,Take Me To Church,PVjiKRfKpPI,244201952,2188156,116699,111278,0
55,2016,Sorry,fRh_vgS2dFE,3041121483,10969346,1410318,721059,0
56,2017,Black Beatles,b8m9zhNAgKs,693998976,4855456,275956,186931,0
57,2018,Rockstar,UceaB4D0jpo,446861504,5871452,199730,289195,0
